application_id;application_date;rm_id;branch_id;business_sector;final_credit_status;approval_stage;decision_date;akad_signing_date;disbursement_date;requested_plafond;approved_plafond;missing_field_count;doc_completeness_flag;data_quality_score;rejection_reason
APP00020;13/09/2024;RM009;B15;Perdagangan;Rejected;Verifikasi;23/10/2024;;;0,89;0,00;2;Incomplete;60;Dokumen Tidak Lengkap
APP00021;05/01/2024;RM006;B01;Perdagangan;Pending;Verifikasi;;;;3,85;0,00;1;Complete;85;
APP00022;05/08/2024;RM002;B03;Perdagangan;Approved;Komite;22/08/2024;06/09/2024;09/09/2024;1,82;1,53;0;Complete;100;
APP00023;11/09/2024;RM017;B12;Perdagangan;Approved;Analisis;20/10/2024;29/10/2024;01/11/2024;2,84;2,45;1;Complete;90;
APP00024;24/12/2024;RM005;B02;Jasa;Approved;Komite;24/01/2025;01/02/2025;03/02/2025;0,78;0,47;2;Incomplete;75;
APP00025;09/10/2024;RM025;B01;Perdagangan;Approved;Analisis;28/10/2024;12/11/2024;20/11/2024;1,58;1,53;3;Incomplete;60;
APP00026;25/07/2024;RM006;B07;Pertanian;Rejected;Verifikasi;27/08/2024;;;1,99;0,00;4;Incomplete;30;Cashflow Lemah
APP00027;15/01/2024;RM026;B05;Perdagangan;Approved;Komite;06/02/2024;17/02/2024;27/02/2024;3,68;2,75;0;Complete;100;
APP00028;11/12/2024;RM012;B01;Perdagangan;Approved;Analisis;16/12/2024;23/12/2024;31/12/2024;2,98;2,27;0;Complete;100;
APP00029;11/02/2024;RM023;B06;Produksi;Approved;Analisis;26/02/2024;29/02/2024;10/03/2024;1,57;0,94;0;Complete;100;
APP00030;27/06/2024;RM021;B05;Jasa;Approved;Analisis;29/07/2024;05/08/2024;15/08/2024;2,40;1,92;2;Incomplete;75;
APP00031;03/03/2024;RM010;B15;Perdagangan;Pending;Analisis;;;;4,21;0,00;5;Incomplete;25;
APP00032;17/12/2024;RM022;B03;Konstruksi;Pending;Analisis;;;;1,76;0,00;1;Complete;85;
APP00033;18/08/2024;RM021;B12;Konstruksi;Pending;Verifikasi;;;;1,65;0,00;0;Complete;100;
APP00034;28/08/2024;RM027;B07;Perdagangan;Approved;Komite;23/09/2024;07/10/2024;13/10/2024;0,64;0,51;1;Complete;90;
APP00035;21/02/2024;RM025;B11;Perdagangan;Pending;Analisis;;;;1,68;0,00;0;Complete;100;
APP00036;05/04/2024;RM006;B10;Transportasi;Pending;Analisis;;;;0,70;0,00;0;Complete;100;
APP00037;09/08/2024;RM027;B09;Produksi;Rejected;Analisis;07/11/2024;;;1,85;0,00;1;Complete;75;Cashflow Lemah
APP00038;18/08/2024;RM008;B14;Jasa;Approved;Komite;01/09/2024;08/09/2024;10/09/2024;3,59;2,38;0;Complete;100;
APP00039;24/08/2024;RM002;B13;Pertanian;Approved;Komite;11/09/2024;23/09/2024;28/09/2024;0,56;0,42;0;Complete;100;
APP00040;22/05/2024;RM012;B13;Perdagangan;Pending;Verifikasi;;;;4,16;0,00;2;Incomplete;70;
APP00041;19/06/2024;RM013;B09;Jasa;Pending;Analisis;;;;1,63;0,00;0;Complete;100;
APP00042;29/01/2024;RM025;B14;Perdagangan;Approved;Komite;24/02/2024;07/03/2024;17/03/2024;1,95;1,62;0;Complete;100;
APP00043;05/02/2024;RM021;B09;Pertanian;Approved;Komite;16/02/2024;29/02/2024;;1,47;1,41;0;Complete;100;
APP00044;13/01/2024;RM007;B02;Jasa;Approved;Komite;23/01/2024;02/02/2024;07/02/2024;0,71;0,54;3;Incomplete;60;
APP00045;08/06/2024;RM010;B03;Produksi;Rejected;Verifikasi;07/07/2024;;;1,24;0,00;2;Incomplete;60;Dokumen Tidak Lengkap
APP00046;22/11/2024;RM013;B07;Perdagangan;Approved;Komite;03/12/2024;08/12/2024;09/12/2024;6,98;6,31;0;Complete;100;
APP00047;05/07/2024;RM017;B05;Perdagangan;Rejected;Verifikasi;01/08/2024;;;1,03;0,00;1;Complete;75;Sektor Risiko Tinggi
APP00048;30/08/2024;RM026;B02;Jasa;Approved;Komite;26/09/2024;06/10/2024;;0,76;0,65;0;Complete;100;
APP00049;26/03/2024;RM021;B03;Produksi;Rejected;Analisis;16/04/2024;;;2,16;0,00;2;Incomplete;60;Agunan Tidak Cukup
APP00050;10/10/2024;RM028;B10;Jasa;Rejected;Analisis;17/10/2024;;;1,88;0,00;2;Incomplete;60;Sektor Risiko Tinggi
APP00051;06/03/2024;RM030;B06;Perdagangan;Approved;Komite;09/04/2024;20/04/2024;22/04/2024;1,63;1,36;3;Incomplete;60;
APP00052;18/06/2024;RM026;B13;Konstruksi;Rejected;Analisis;27/07/2024;;;2,00;0,00;1;Complete;75;Sektor Risiko Tinggi
APP00053;14/02/2024;RM014;B07;Perdagangan;Approved;Analisis;26/02/2024;07/03/2024;09/03/2024;2,92;2,50;5;Incomplete;30;
APP00054;02/03/2024;RM002;B09;Transportasi;Rejected;Verifikasi;31/03/2024;;;1,39;0,00;5;Incomplete;15;Sektor Risiko Tinggi
APP00055;13/05/2024;RM028;B01;Perdagangan;Pending;Verifikasi;;;;2,23;0,00;3;Incomplete;55;
APP00056;10/10/2024;RM022;B11;Produksi;Approved;Komite;20/10/2024;28/10/2024;06/11/2024;3,66;2,70;1;Complete;90;
APP00057;28/01/2024;RM011;B07;Perdagangan;Pending;Analisis;;;;1,09;0,00;1;Complete;85;
APP00058;17/04/2024;RM001;B08;Konstruksi;Rejected;Analisis;27/05/2024;;;0,49;0,00;1;Complete;75;Sektor Risiko Tinggi
APP00059;13/02/2024;RM019;B12;Jasa;Approved;Komite;07/03/2024;15/03/2024;25/03/2024;2,97;2,34;0;Complete;100;
APP00060;05/12/2024;RM021;B14;Perdagangan;Pending;Verifikasi;;;;8,90;0,00;0;Complete;100;
APP00061;12/10/2024;RM004;B03;Perdagangan;Pending;Verifikasi;;;;1,97;0,00;2;Incomplete;70;
APP00062;26/11/2024;RM019;B04;Perdagangan;Rejected;Analisis;24/12/2024;;;2,24;0,00;2;Incomplete;60;Cashflow Lemah
APP00063;07/05/2024;RM026;B10;Perdagangan;Approved;Komite;24/05/2024;04/06/2024;05/06/2024;1,66;1,65;4;Incomplete;45;
APP00064;13/12/2024;RM029;B06;Konstruksi;Approved;Komite;22/12/2024;06/01/2025;16/01/2025;5,14;4,75;0;Complete;100;
APP00065;18/08/2024;RM021;B10;Jasa;Approved;Komite;25/08/2024;05/09/2024;11/09/2024;1,89;1,55;0;Complete;100;
APP00066;08/07/2024;RM011;B07;Pertanian;Pending;Verifikasi;;;;1,77;0,00;3;Incomplete;55;
APP00067;12/08/2024;RM008;B13;Produksi;Approved;Komite;31/08/2024;09/09/2024;18/09/2024;3,42;2,74;1;Complete;90;
APP00068;09/10/2024;RM011;B14;Produksi;Rejected;Verifikasi;01/11/2024;;;1,48;0,00;0;Complete;90;Sektor Risiko Tinggi
APP00069;30/04/2024;RM004;B04;Perdagangan;Approved;Komite;10/05/2024;20/05/2024;21/05/2024;0,92;0,68;5;Incomplete;30;
APP00070;25/04/2024;RM017;B08;Perdagangan;Pending;Verifikasi;;;;3,37;0,00;3;Incomplete;55;
APP00071;20/08/2024;RM027;B05;Pertanian;Approved;Analisis;08/09/2024;16/09/2024;22/09/2024;1,39;1,07;1;Complete;90;
APP00072;15/09/2024;RM007;B01;Transportasi;Approved;Analisis;26/09/2024;02/10/2024;04/10/2024;1,10;0,90;3;Incomplete;60;
APP00073;24/12/2024;RM008;B04;Perdagangan;Approved;Komite;22/01/2025;05/02/2025;08/02/2025;6,99;5,74;2;Incomplete;75;
APP00074;16/07/2024;RM003;B03;Perdagangan;Approved;Analisis;07/08/2024;13/08/2024;;1,78;1,42;3;Incomplete;60;
APP00075;16/05/2024;RM022;B09;Jasa;Pending;Analisis;;;;2,67;0,00;3;Incomplete;55;
APP00076;13/11/2024;RM002;B08;Transportasi;Rejected;Verifikasi;17/12/2024;;;2,02;0,00;0;Complete;90;Dokumen Tidak Lengkap
APP00077;13/06/2024;RM023;B01;Perdagangan;Pending;Verifikasi;;;;1,16;0,00;2;Incomplete;70;
APP00078;12/08/2024;RM015;B11;Jasa;Rejected;Verifikasi;09/09/2024;;;3,00;0,00;0;Complete;90;Agunan Tidak Cukup
APP00079;02/11/2024;RM024;B06;Konstruksi;Rejected;Analisis;17/11/2024;;;2,39;0,00;0;Complete;90;Cashflow Lemah
APP00080;21/08/2024;RM022;B09;Perdagangan;Pending;Verifikasi;;;;1,33;0,00;4;Incomplete;40;
APP00081;20/06/2024;RM022;B07;Perdagangan;Rejected;Analisis;18/07/2024;;;2,57;0,00;1;Complete;75;Cashflow Lemah
APP00082;31/05/2024;RM005;B04;Produksi;Pending;Analisis;;;;1,46;0,00;2;Incomplete;70;
APP00083;10/11/2024;RM024;B13;Konstruksi;Approved;Analisis;07/12/2024;19/12/2024;27/12/2024;1,02;0,66;3;Incomplete;60;
APP00084;08/06/2024;RM001;B01;Perdagangan;Pending;Verifikasi;;;;0,96;0,00;4;Incomplete;40;
APP00085;05/04/2024;RM026;B12;Jasa;Approved;Komite;23/04/2024;02/05/2024;12/05/2024;2,33;1,84;3;Incomplete;60;
APP00086;20/08/2024;RM004;B02;Jasa;Pending;Verifikasi;;;;1,58;0,00;1;Complete;85;
APP00087;28/06/2024;RM015;B12;Jasa;Pending;Analisis;;;;4,88;0,00;0;Complete;100;
APP00088;22/04/2024;RM020;B05;Produksi;Approved;Analisis;14/05/2024;20/05/2024;26/05/2024;1,93;1,89;0;Complete;100;
APP00089;13/11/2024;RM019;B12;Jasa;Approved;Analisis;22/11/2024;07/12/2024;14/12/2024;1,24;0,98;1;Complete;90;
APP00090;21/02/2024;RM003;B11;Jasa;Rejected;Verifikasi;07/03/2024;;;2,18;0,00;1;Complete;75;Agunan Tidak Cukup
APP00091;24/09/2024;RM020;B05;Jasa;Pending;Analisis;;;;0,91;0,00;1;Complete;85;
APP00092;21/10/2024;RM011;B08;Jasa;Approved;Analisis;29/11/2024;08/12/2024;14/12/2024;1,89;1,81;2;Incomplete;75;
APP00093;22/04/2024;RM017;B06;Jasa;Pending;Verifikasi;;;;2,40;0,00;5;Incomplete;25;
APP00094;10/04/2024;RM030;B08;Konstruksi;Pending;Verifikasi;;;;2,23;0,00;2;Incomplete;70;
APP00095;22/04/2024;RM027;B02;Perdagangan;Approved;Analisis;12/05/2024;15/05/2024;16/05/2024;4,33;2,62;2;Incomplete;75;
APP00096;21/03/2024;RM013;B03;Pertanian;Rejected;Analisis;05/04/2024;;;9,42;0,00;0;Complete;90;Sektor Risiko Tinggi
APP00097;05/07/2024;RM011;B06;Pertanian;Pending;Verifikasi;;;;2,97;0,00;0;Complete;100;
APP00098;22/04/2024;RM002;B12;Perdagangan;Approved;Analisis;26/05/2024;03/06/2024;09/06/2024;4,02;2,45;0;Complete;100;
APP00099;02/01/2024;RM009;B13;Jasa;Rejected;Analisis;31/01/2024;;;9,12;0,00;2;Incomplete;60;Sektor Risiko Tinggi
APP00100;09/05/2024;RM026;B10;Jasa;Rejected;Analisis;31/05/2024;;;1,08;0,00;0;Complete;90;Sektor Risiko Tinggi
APP00101;07/08/2024;RM002;B03;Perdagangan;Approved;Komite;16/09/2024;30/09/2024;;2,14;1,72;2;Incomplete;75;
APP00102;23/02/2024;RM021;B06;Jasa;Approved;Komite;13/03/2024;23/03/2024;;1,49;1,22;1;Complete;90;
APP00103;08/12/2024;RM009;B06;Perdagangan;Approved;Komite;02/01/2025;16/01/2025;21/01/2025;3,29;2,02;0;Complete;100;
APP00104;11/08/2024;RM009;B02;Perdagangan;Pending;Analisis;;;;2,33;0,00;0;Complete;100;
APP00105;12/08/2024;RM008;B07;Pertanian;Pending;Verifikasi;;;;1,21;0,00;1;Complete;85;
APP00106;05/05/2024;RM017;B12;Perdagangan;Pending;Verifikasi;;;;2,00;0,00;1;Complete;85;
APP00107;09/05/2024;RM001;B02;Pertanian;Rejected;Verifikasi;17/05/2024;;;3,72;0,00;2;Incomplete;60;Dokumen Tidak Lengkap
APP00108;22/02/2024;RM025;B06;Jasa;Pending;Verifikasi;;;;0,91;0,00;2;Incomplete;70;
APP00109;20/06/2024;RM029;B01;Konstruksi;Approved;Komite;09/07/2024;24/07/2024;03/08/2024;1,23;1,18;1;Complete;90;
APP00110;05/08/2024;RM011;B03;Jasa;Approved;Analisis;12/08/2024;21/08/2024;27/08/2024;1,12;1,12;3;Incomplete;60;
APP00111;08/06/2024;RM008;B02;Perdagangan;Approved;Analisis;03/07/2024;12/07/2024;;2,41;2,40;1;Complete;90;
APP00112;16/07/2024;RM010;B07;Produksi;Approved;Analisis;15/08/2024;28/08/2024;03/09/2024;4,17;3,97;4;Incomplete;45;
APP00113;03/09/2024;RM025;B14;Perdagangan;Pending;Verifikasi;;;;0,59;0,00;0;Complete;100;
APP00114;19/11/2024;RM007;B04;Jasa;Rejected;Verifikasi;11/12/2024;;;2,10;0,00;2;Incomplete;60;Cashflow Lemah
APP00115;21/07/2024;RM003;B08;Konstruksi;Approved;Komite;30/07/2024;14/08/2024;21/08/2024;1,14;0,87;1;Complete;90;
APP00116;02/07/2024;RM003;B06;Perdagangan;Pending;Analisis;;;;3,62;0,00;0;Complete;100;
APP00117;02/05/2024;RM018;B12;Jasa;Pending;Verifikasi;;;;1,72;0,00;0;Complete;100;
APP00118;11/09/2024;RM005;B10;Produksi;Approved;Analisis;29/09/2024;12/10/2024;;2,14;1,80;1;Complete;90;
APP00119;20/10/2024;RM012;B04;Konstruksi;Approved;Analisis;14/11/2024;19/11/2024;21/11/2024;1,98;1,60;0;Complete;100;
APP00120;06/10/2024;RM012;B05;Produksi;Approved;Analisis;24/10/2024;03/11/2024;10/11/2024;3,89;2,37;0;Complete;100;
APP00121;20/11/2024;RM019;B13;Perdagangan;Approved;Komite;26/12/2024;29/12/2024;04/01/2025;6,78;6,21;5;Incomplete;30;
APP00122;07/04/2024;RM030;B13;Produksi;Rejected;Analisis;07/05/2024;;;1,00;0,00;3;Incomplete;45;Dokumen Tidak Lengkap
APP00123;16/07/2024;RM006;B15;Perdagangan;Approved;Komite;19/08/2024;24/08/2024;02/09/2024;1,12;0,80;2;Incomplete;75;
APP00124;27/08/2024;RM002;B15;Produksi;Approved;Analisis;25/11/2024;21/09/2024;;2,40;1,45;3;Incomplete;60;
APP00125;23/05/2024;RM012;B09;Transportasi;Approved;Komite;13/06/2024;25/06/2024;04/07/2024;1,21;0,91;4;Incomplete;45;
APP00126;06/04/2024;RM019;B07;Produksi;Rejected;Analisis;19/04/2024;;;3,47;0,00;1;Complete;75;Cashflow Lemah
APP00127;19/07/2024;RM005;B10;Konstruksi;Approved;Analisis;08/08/2024;16/08/2024;22/08/2024;3,82;3,69;0;Complete;100;
APP00128;03/05/2024;RM012;B14;Perdagangan;Approved;Komite;12/06/2024;16/06/2024;20/06/2024;1,43;1,10;3;Incomplete;60;
APP00129;05/07/2024;RM027;B14;Produksi;Approved;Komite;13/08/2024;23/08/2024;31/08/2024;1,25;0,98;2;Incomplete;75;
APP00130;21/11/2024;RM027;B09;Pertanian;Approved;Komite;12/12/2024;16/12/2024;19/12/2024;1,68;1,24;1;Complete;90;
APP00131;14/12/2024;RM017;B07;Perdagangan;Approved;Komite;15/01/2025;26/01/2025;31/01/2025;2,11;1,80;1;Complete;90;
APP00132;15/09/2024;RM029;B12;Konstruksi;Pending;Verifikasi;;;;2,40;0,00;1;Complete;85;
APP00133;27/05/2024;RM017;B01;Perdagangan;Approved;Analisis;26/06/2024;06/07/2024;08/07/2024;0,51;0,44;4;Incomplete;45;
APP00134;08/09/2024;RM010;B12;Produksi;Approved;Komite;06/10/2024;09/10/2024;18/10/2024;1,11;1,00;0;Complete;100;
APP00135;11/12/2024;RM025;B08;Pertanian;Rejected;Analisis;30/12/2024;;;1,56;0,00;4;Incomplete;30;Agunan Tidak Cukup
APP00136;26/05/2024;RM023;B04;Produksi;Approved;Analisis;08/06/2024;22/06/2024;01/07/2024;1,23;1,16;4;Incomplete;45;
APP00137;27/05/2024;RM017;B03;Perdagangan;Approved;Analisis;03/07/2024;08/07/2024;;0,36;0,31;2;Incomplete;75;
APP00138;17/12/2024;RM015;B14;Jasa;Approved;Komite;22/01/2025;31/01/2025;10/02/2025;0,64;0,44;1;Complete;90;
APP00139;17/07/2024;RM012;B13;Jasa;Rejected;Verifikasi;27/07/2024;;;0,91;0,00;1;Complete;80;Cashflow Lemah
APP00140;03/11/2024;RM030;B07;Konstruksi;Approved;Analisis;11/11/2024;24/11/2024;;1,85;1,48;0;Complete;100;
APP00141;07/05/2024;RM016;B12;Jasa;Rejected;Analisis;19/05/2024;;;1,53;0,00;0;Complete;90;Agunan Tidak Cukup
APP00142;08/02/2024;RM024;B03;Perdagangan;Pending;Verifikasi;;;;1,36;0,00;2;Incomplete;70;
APP00143;03/12/2024;RM019;B08;Produksi;Approved;Analisis;17/12/2024;22/12/2024;25/12/2024;3,20;2,87;1;Complete;90;
APP00144;25/12/2024;RM008;B06;Jasa;Rejected;Analisis;09/01/2025;;;3,20;0,00;0;Complete;88;Agunan Tidak Cukup
APP00145;08/05/2024;RM021;B05;Produksi;Approved;Komite;09/06/2024;13/06/2024;23/06/2024;2,17;1,36;0;Complete;100;
APP00146;23/09/2024;RM017;B04;Produksi;Approved;Analisis;02/10/2024;12/10/2024;15/10/2024;2,13;1,30;4;Incomplete;45;
APP00147;30/05/2024;RM023;B08;Konstruksi;Rejected;Analisis;28/06/2024;;;1,19;0,00;1;Complete;75;Sektor Risiko Tinggi
APP00148;24/10/2024;RM005;B08;Jasa;Pending;Analisis;;;;1,27;0,00;4;Incomplete;40;
APP00149;08/04/2024;RM022;B12;Jasa;Pending;Verifikasi;;;;0,71;0,00;0;Complete;100;
APP00150;19/09/2024;RM016;B01;Perdagangan;Approved;Komite;18/10/2024;02/11/2024;03/11/2024;1,71;1,49;1;Complete;90;
APP00151;08/09/2024;RM006;B09;Perdagangan;Approved;Komite;12/10/2024;19/10/2024;23/10/2024;3,18;2,80;0;Complete;100;
APP00152;23/05/2024;RM008;B14;Perdagangan;Pending;Analisis;;;;4,47;0,00;1;Complete;85;
APP00153;11/12/2024;RM025;B05;Perdagangan;Approved;Komite;18/01/2025;26/01/2025;05/02/2025;1,71;1,67;2;Incomplete;75;
APP00154;21/04/2024;RM018;B04;Produksi;Approved;Komite;12/05/2024;24/05/2024;01/06/2024;2,66;2,48;0;Complete;100;
APP00155;29/02/2024;RM025;B06;Produksi;Approved;Komite;09/04/2024;23/04/2024;27/04/2024;0,36;0,31;1;Complete;90;
APP00156;02/01/2024;RM012;B06;Jasa;Approved;Analisis;07/01/2024;16/01/2024;24/01/2024;1,53;1,33;2;Incomplete;75;
APP00157;30/10/2024;RM015;B02;Pertanian;Rejected;Analisis;11/11/2024;;;1,51;0,00;2;Incomplete;60;Dokumen Tidak Lengkap
APP00158;10/09/2024;RM027;B08;Transportasi;Approved;Analisis;19/10/2024;01/11/2024;05/11/2024;4,85;4,19;2;Incomplete;75;
APP00159;19/05/2024;RM026;B07;Pertanian;Rejected;Verifikasi;10/06/2024;;;2,51;0,00;0;Complete;90;Dokumen Tidak Lengkap
APP00160;06/02/2024;RM009;B01;Produksi;Approved;Analisis;03/03/2024;07/03/2024;17/03/2024;2,67;1,77;1;Complete;90;
APP00161;08/06/2024;RM013;B05;Jasa;Pending;Verifikasi;;;;2,59;0,00;5;Incomplete;25;
APP00162;09/01/2024;RM026;B12;Jasa;Approved;Analisis;21/01/2024;29/01/2024;06/02/2024;2,04;1,64;3;Incomplete;60;
APP00163;20/08/2024;RM015;B06;Perdagangan;Approved;Komite;12/09/2024;25/09/2024;02/10/2024;4,97;4,93;4;Incomplete;45;
APP00164;08/04/2024;RM010;B04;Jasa;Approved;Komite;10/05/2024;21/05/2024;28/05/2024;0,50;0,36;1;Complete;90;
APP00165;26/05/2024;RM016;B02;Konstruksi;Approved;Analisis;10/06/2024;19/06/2024;23/06/2024;2,16;1,71;3;Incomplete;60;
APP00166;30/10/2024;RM007;B13;Pertanian;Approved;Komite;03/12/2024;11/12/2024;14/12/2024;3,91;3,05;2;Incomplete;75;
APP00167;26/07/2024;RM017;B14;Perdagangan;Rejected;Verifikasi;31/07/2024;;;0,64;0,00;0;Complete;90;Cashflow Lemah
APP00168;10/05/2024;RM023;B04;Jasa;Pending;Verifikasi;;;;3,28;0,00;3;Incomplete;55;
APP00169;31/05/2024;RM026;B01;Pertanian;Approved;Komite;21/06/2024;04/07/2024;05/07/2024;1,26;0,90;2;Incomplete;75;
APP00170;23/02/2024;RM021;B07;Perdagangan;Approved;Analisis;31/03/2024;14/04/2024;20/04/2024;2,12;1,41;0;Complete;100;
APP00171;29/04/2024;RM022;B02;Jasa;Approved;Komite;15/05/2024;30/05/2024;01/06/2024;1,24;0,88;0;Complete;100;
APP00172;09/06/2024;RM026;B13;Konstruksi;Pending;Analisis;;;;3,53;0,00;3;Incomplete;55;
APP00173;25/04/2024;RM007;B02;Jasa;Pending;Verifikasi;;;;1,67;0,00;0;Complete;100;
APP00174;15/03/2024;RM014;B09;Perdagangan;Rejected;Analisis;21/04/2024;;;3,29;0,00;0;Complete;90;Dokumen Tidak Lengkap
APP00175;22/04/2024;RM015;B05;Jasa;Approved;Analisis;03/05/2024;13/05/2024;22/05/2024;2,57;2,18;1;Complete;90;
APP00176;13/04/2024;RM021;B02;Konstruksi;Approved;Komite;07/05/2024;18/05/2024;23/05/2024;1,23;1,11;0;Complete;100;
APP00177;05/12/2024;RM007;B11;Jasa;Approved;Komite;11/01/2025;14/01/2025;;2,68;2,12;4;Incomplete;45;
APP00178;10/09/2024;RM009;B09;Perdagangan;Pending;Analisis;;;;1,33;0,00;1;Complete;85;
APP00179;14/08/2024;RM019;B09;Jasa;Pending;Verifikasi;;;;2,06;0,00;1;Complete;85;
APP00180;21/04/2024;RM016;B01;Jasa;Pending;Verifikasi;;;;1,65;0,00;4;Incomplete;40;
APP00181;08/04/2024;RM008;B11;Jasa;Pending;Analisis;;;;3,40;0,00;1;Complete;85;
APP00182;01/06/2024;RM018;B03;Pertanian;Approved;Analisis;18/06/2024;30/06/2024;08/07/2024;2,74;2,50;1;Complete;90;
APP00183;14/12/2024;RM027;B04;Perdagangan;Pending;Verifikasi;;;;1,95;0,00;3;Incomplete;55;
APP00184;03/12/2024;RM023;B14;Konstruksi;Approved;Analisis;17/12/2024;21/12/2024;24/12/2024;1,31;0,98;1;Complete;90;
APP00185;12/07/2024;RM029;B07;Perdagangan;Pending;Analisis;;;;0,93;0,00;0;Complete;100;
APP00186;05/11/2024;RM018;B10;Jasa;Approved;Komite;03/12/2024;09/12/2024;11/12/2024;2,15;1,62;2;Incomplete;75;
APP00187;11/06/2024;RM030;B04;Perdagangan;Approved;Komite;26/06/2024;09/07/2024;13/07/2024;1,36;1,22;3;Incomplete;60;
APP00188;26/07/2024;RM020;B02;Jasa;Rejected;Verifikasi;03/09/2024;;;0,64;0,00;3;Incomplete;45;Cashflow Lemah
APP00189;17/06/2024;RM007;B07;Jasa;Rejected;Verifikasi;25/07/2024;;;0,89;0,00;5;Incomplete;15;Cashflow Lemah
APP00190;09/06/2024;RM003;B06;Jasa;Rejected;Analisis;14/06/2024;;;5,26;0,00;3;Incomplete;77;Dokumen Tidak Lengkap
APP00191;08/03/2024;RM018;B03;Perdagangan;Approved;Analisis;02/04/2024;15/04/2024;21/04/2024;1,33;1,23;2;Incomplete;75;
APP00192;15/10/2024;RM027;B06;Produksi;Pending;Analisis;;;;3,80;0,00;3;Incomplete;55;
APP00193;03/10/2024;RM010;B11;Perdagangan;Approved;Komite;01/01/2025;15/11/2024;22/11/2024;1,60;1,12;0;Complete;100;
APP00194;30/10/2024;RM007;B15;Pertanian;Rejected;Analisis;05/11/2024;;;4,17;0,00;1;Complete;75;Cashflow Lemah
APP00195;14/05/2024;RM017;B06;Konstruksi;Approved;Komite;26/05/2024;01/06/2024;;3,99;2,51;2;Incomplete;75;
APP00196;13/07/2024;RM014;B12;Perdagangan;Rejected;Analisis;10/08/2024;;;1,21;0,00;1;Complete;75;Sektor Risiko Tinggi
APP00197;07/05/2024;RM024;B05;Jasa;Rejected;Verifikasi;31/05/2024;;;0,60;0,00;0;Complete;90;Dokumen Tidak Lengkap
APP00198;02/02/2024;RM003;B04;Jasa;Pending;Verifikasi;;;;0,63;0,00;0;Complete;100;
APP00199;24/06/2024;RM012;B10;Perdagangan;Approved;Analisis;14/07/2024;28/07/2024;01/08/2024;1,22;1,17;0;Complete;100;
APP00200;22/01/2024;RM028;B12;Jasa;Approved;Analisis;30/01/2024;03/02/2024;05/02/2024;6,16;5,78;1;Complete;90;
APP00201;25/08/2024;RM013;B15;Pertanian;Rejected;Analisis;14/09/2024;;;1,55;0,00;3;Incomplete;45;Agunan Tidak Cukup
